0,0,1276,0,1276,1735,0,1735
1270,0,2618,0,2618,1735,1270,1735
0,47,89,47,89,226,0,226
1335,47,1425,47,1425,226,1335,226
1419,172,1973,172,1973,256,1419,256
83,178,638,178,638,262,83,262
95,262,506,262,506,339,95,339
1431,262,1842,262,1842,333,1431,333
2582,328,2659,328,2659,411,2582,411
1246,333,1323,333,1323,417,1246,417
2552,781,2600,781,2600,858,2552,858
86,798,438,779,443,879,91,897
1216,787,1264,787,1264,858,1216,858
1425,787,1777,787,1777,882,1425,882
2552,846,2629,846,2629,989,2552,989
1216,852,1294,852,1294,995,1216,995
2480,870,2552,870,2552,978,2480,978
1145,876,1216,876,1216,984,1145,984
1139,972,1300,972,1300,1061,1139,1061
2468,972,2635,972,2635,1061,2468,1061
1431,978,1741,978,1741,1097,1431,1097
95,984,405,984,405,1097,95,1097
1234,1145,1317,1145,1317,1365,1234,1365
2570,1145,2653,1145,2653,1365,2570,1365
155,1189,503,1205,500,1290,151,1275
1492,1182,1841,1204,1835,1291,1486,1269
0,1634,1359,1634,1359,3160,0,3160
1300,1634,2665,1634,2665,3160,1300,3160
1431,1669,1681,1669,1681,1830,1431,1830
89,1675,339,1675,339,1836,89,1836
1938,1681,2129,1681,2129,1848,1938,1848
602,1687,793,1687,793,1854,602,1854
1348,1695,1450,1710,1424,1879,1322,1863
0,1705,101,1705,101,1866,0,1866
1509,1841,1939,1852,1937,1917,1507,1907
172,1854,602,1854,602,1914,172,1914
89,1866,172,1866,172,1908,89,1908
1425,1866,1508,1866,1508,1902,1425,1902
95,1938,477,1938,477,1991,95,1991
1437,1944,1812,1944,1812,1991,1437,1991
2564,2290,2659,2290,2659,2415,2564,2415
1228,2296,1323,2296,1323,2427,1228,2427
11,2373,47,2373,47,2462,11,2462
995,2439,1085,2439,1085,2570,995,2570
119,2462,351,2462,351,2540,119,2540
1455,2462,1693,2462,1693,2534,1455,2534
1329,2522,1610,2522,1610,3291,1329,3291
0,2534,274,2534,274,3297,0,3297
1216,2540,1294,2540,1294,2665,1216,2665
2552,2540,2629,2540,2629,2659,2552,2659
1133,2653,1276,2653,1276,2713,1133,2713
2474,2653,2612,2653,2612,2713,2474,2713
1490,2659,1693,2659,1693,2755,1490,2755
232,2665,357,2665,357,2755,232,2755
2325,2700,2671,2706,2661,3307,2316,3301
987,2707,1333,2691,1360,3294,1014,3310
1484,2868,1610,2868,1610,2928,1484,2928
149,2874,274,2874,274,2934,149,2934
265,2859,477,2885,469,2950,257,2924
1600,2864,1811,2881,1806,2942,1595,2925
221,3122,1026,3134,1024,3253,219,3240
1556,3136,2361,3136,2361,3232,1556,3232
