0,0,1136,0,1136,403,0,403
1510,0,2661,0,2661,395,1510,395
1275,0,1378,0,1378,21,1275,21
2800,0,2895,0,2895,21,2800,21
469,139,997,139,997,190,469,190
1986,131,2521,131,2521,190,1986,190
2976,139,3042,139,3042,315,2976,315
1451,146,1517,146,1517,315,1451,315
1906,263,2213,263,2213,307,1906,307
2213,263,2323,263,2323,300,2213,300
183,271,329,271,329,315,183,315
381,271,689,271,689,307,381,307
689,271,799,271,799,307,689,307
1708,271,1854,271,1854,307,1708,307
527,366,579,366,579,410,527,410
909,366,1084,366,1084,410,909,410
1136,366,1209,366,1209,410,1136,410
2052,366,2103,366,2103,403,2052,403
2184,366,2331,366,2331,410,2184,410
2433,366,2609,366,2609,403,2433,403
2661,366,2734,366,2734,403,2661,403
161,373,227,373,227,410,161,410
263,373,476,373,476,425,263,425
659,373,806,373,806,410,659,410
1686,373,1752,373,1752,410,1686,410
1781,373,2001,373,2001,417,1781,417
1410,372,1532,374,1517,1694,1394,1693
2925,373,3042,373,3042,1693,2925,1693
2675,432,2749,432,2749,461,2675,461
2763,432,2837,432,2837,476,2763,476
711,439,777,439,777,476,711,476
784,439,843,439,843,469,784,469
894,439,1099,439,1099,476,894,476
1150,439,1224,439,1224,469,1150,469
1238,439,1319,439,1319,476,1238,476
1686,439,1752,439,1752,483,1686,483
1832,439,2059,439,2059,483,1832,483
2147,439,2235,439,2235,476,2147,476
2235,439,2301,439,2301,476,2235,476
2309,439,2375,439,2375,476,2309,476
2419,439,2617,439,2617,461,2419,461
161,447,219,447,219,483,161,483
307,447,535,447,535,483,307,483
623,447,703,447,703,469,623,469
1539,483,1605,483,1605,608,1539,608
14,491,80,491,80,608,14,608
564,520,901,520,901,637,564,637
2087,524,2425,515,2428,629,2090,639
1715,542,1832,542,1832,586,1715,586
190,549,307,549,307,586,190,586
7,630,80,630,80,784,7,784
1532,637,1605,637,1605,777,1532,777
1783,632,1897,649,1889,704,1775,688
249,637,351,637,351,696,249,696
909,645,1084,645,1084,689,909,689
1143,645,1209,645,1209,689,1143,689
1216,645,1297,645,1297,689,1216,689
1686,645,1744,645,1744,689,1686,689
1891,645,2001,645,2001,696,1891,696
2184,645,2331,645,2331,689,2184,689
2433,645,2609,645,2609,689,2433,689
2668,645,2734,645,2734,681,2668,681
2749,645,2822,645,2822,681,2749,681
161,652,219,652,219,689,161,689
366,652,476,652,476,696,366,696
659,652,806,652,806,689,659,689
2683,718,2763,718,2763,755,2683,755
2771,711,2844,711,2844,755,2771,755
784,718,850,718,850,762,784,762
1158,718,1238,718,1238,762,1158,762
1246,718,1319,718,1319,762,1246,762
1832,718,2059,718,2059,762,1832,762
2147,718,2235,718,2235,755,2147,755
2243,718,2309,718,2309,755,2243,755
2309,718,2375,718,2375,755,2309,755
2419,718,2617,718,2617,762,2419,762
307,725,535,725,535,769,307,769
623,725,703,725,703,747,623,747
718,725,777,725,777,755,718,755
894,725,1092,725,1092,755,894,755
2683,784,2719,784,2719,821,2683,821
2771,784,2844,784,2844,828,2771,828
784,791,843,791,843,821,784,821
894,791,1092,791,1092,821,894,821
1246,791,1319,791,1319,828,1246,828
1832,791,2059,791,2059,835,1832,835
2147,791,2235,791,2235,828,2147,828
2243,791,2309,791,2309,828,2243,828
2309,791,2375,791,2375,828,2309,828
2419,791,2609,791,2609,821,2419,821
307,799,535,799,535,835,307,835
623,799,703,799,703,828,623,828
718,799,777,799,777,821,718,821
0,777,1436,777,1436,1847,0,1847
1510,791,1664,791,1664,1202,1510,1202
2470,872,2617,872,2617,916,2470,916
2624,872,2785,872,2785,916,2624,916
205,879,557,879,557,923,205,923
564,879,791,879,791,923,564,923
791,879,945,879,945,916,791,916
945,879,1099,879,1099,916,945,916
1099,879,1260,879,1260,916,1099,916
1730,879,2081,879,2081,916,1730,916
2089,879,2316,879,2316,916,2089,916
2316,879,2470,879,2470,916,2316,916
1356,931,1414,931,1414,1033,1356,1033
2881,931,2939,931,2939,1033,2881,1033
791,960,857,960,857,1004,791,1004
2133,953,2235,953,2235,989,2133,989
2235,953,2309,953,2309,989,2235,989
2309,953,2382,953,2382,997,2309,997
608,960,711,960,711,997,608,997
711,960,784,960,784,997,711,997
2668,967,2807,967,2807,1077,2668,1077
1143,975,1290,975,1290,1077,1143,1077
784,1033,1026,1033,1026,1077,784,1077
